dealer_slug,dealer_name,destination,tier_label,price_tier_min,price_tier_max,weight_tier_min_g,weight_tier_max_g,cost,currency,free_shipping,source_url,scraped_at
bodet,bodet,Germany,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,15.3,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,Germany,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,19.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,Germany,"500,00 EUR to 1000,00 EUR and up to 1000 g",500.0,1000.0,0.0,1000.0,27.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,France,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,9.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,France,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,12.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,France,"500,00 EUR to 1000,00 EUR and up to 1000 g",500.0,1000.0,0.0,1000.0,18.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,United Kingdom,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,19.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,United Kingdom,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,24.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,Switzerland,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,7.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,United States,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,37.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,United States,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,80.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,European Union,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,15.3,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,European Union,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,19.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,European Union,"500,00 EUR to 1000,00 EUR and up to 1000 g",500.0,1000.0,0.0,1000.0,27.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,World,"up to 80,00 EUR and up to 500 g",0.0,80.0,0.0,500.0,37.5,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
bodet,bodet,World,"up to 500,00 EUR and up to 1000 g",0.0,500.0,0.0,1000.0,75.0,EUR,False,https://www.ma-shops.com/bodet/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:44.709003+00:00
abram,abram,Germany,"up to 20,00 EUR",0.0,20.0,,,5.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,Germany,"20,00 EUR to 50,00 EUR",20.0,50.0,,,5.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,Germany,"50,00 EUR to 500,00 EUR",50.0,500.0,,,5.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,Germany,"500,00 EUR to 99999,00 EUR",500.0,99999.0,,,0.0,EUR,True,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,European Union,"up to 20,00 EUR",0.0,20.0,,,7.9,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,European Union,"20,00 EUR to 50,00 EUR",20.0,50.0,,,7.9,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,European Union,"50,00 EUR to 500,00 EUR",50.0,500.0,,,7.9,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,European Union,"500,00 EUR to 99999,00 EUR",500.0,99999.0,,,0.0,EUR,True,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,World,"up to 20,00 EUR",0.0,20.0,,,10.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,World,"20,00 EUR to 50,00 EUR",20.0,50.0,,,10.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,World,"50,00 EUR to 500,00 EUR",50.0,500.0,,,10.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
abram,abram,World,"500,00 EUR to 99999,00 EUR",500.0,99999.0,,,10.0,EUR,False,https://www.ma-shops.com/abram/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:46.369273+00:00
fishman,fishman,Argentina,"0,01 EUR to 42,88 EUR",0.01,42.88,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Argentina,"up to 85,77 EUR",0.0,85.77,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Argentina,"up to 171,53 EUR",0.0,171.53,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Argentina,"171,54 EUR to 343,06 EUR",171.54,343.06,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Argentina,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Australia,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Australia,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Australia,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Australia,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Australia,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Bangladesh,"0,01 EUR to 42,88 EUR",0.01,42.88,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Bangladesh,"up to 85,77 EUR",0.0,85.77,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Bangladesh,"up to 171,53 EUR",0.0,171.53,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Bangladesh,"171,54 EUR to 343,06 EUR",171.54,343.06,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Bangladesh,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Brazil,"0,01 EUR to 42,88 EUR",0.01,42.88,,,30.02,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Brazil,"up to 85,77 EUR",0.0,85.77,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Brazil,"up to 171,53 EUR",0.0,171.53,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Brazil,"171,54 EUR to 343,06 EUR",171.54,343.06,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Brazil,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,30.88,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United Kingdom,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United Kingdom,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United Kingdom,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United Kingdom,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United Kingdom,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,India,"0,01 EUR to 42,88 EUR",0.01,42.88,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,India,"up to 85,77 EUR",0.0,85.77,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,India,"up to 171,53 EUR",0.0,171.53,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,India,"171,54 EUR to 343,06 EUR",171.54,343.06,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,India,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,38.6,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Israel,"0,01 EUR to 42,88 EUR",0.01,42.88,,,17.15,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Israel,"up to 85,77 EUR",0.0,85.77,,,17.15,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Israel,"up to 171,53 EUR",0.0,171.53,,,17.15,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Israel,"171,54 EUR to 343,06 EUR",171.54,343.06,,,17.15,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Israel,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,17.15,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Italy,"0,01 EUR to 42,88 EUR",0.01,42.88,,,4.29,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Italy,"up to 85,77 EUR",0.0,85.77,,,4.29,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Italy,"up to 171,53 EUR",0.0,171.53,,,13.72,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Italy,"171,54 EUR to 343,06 EUR",171.54,343.06,,,13.72,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Italy,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,13.72,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Japan,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Japan,"up to 85,77 EUR",0.0,85.77,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Japan,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Japan,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Japan,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Canada,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Canada,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Canada,"up to 171,53 EUR",0.0,171.53,,,8.58,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Canada,"171,54 EUR to 343,06 EUR",171.54,343.06,,,8.58,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Canada,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,8.58,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,New Zealand,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,New Zealand,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,New Zealand,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,New Zealand,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,New Zealand,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Norway,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Norway,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Norway,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Norway,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Norway,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Sweden,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Sweden,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Sweden,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Sweden,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Sweden,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Switzerland,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Switzerland,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Switzerland,"up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Switzerland,"171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Switzerland,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Serbia,"0,01 EUR to 42,88 EUR",0.01,42.88,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Serbia,"up to 85,77 EUR",0.0,85.77,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Serbia,"up to 171,53 EUR",0.0,171.53,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Serbia,"171,54 EUR to 343,06 EUR",171.54,343.06,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Serbia,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Singapore,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Singapore,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Singapore,"up to 171,53 EUR",0.0,171.53,,,15.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Singapore,"171,54 EUR to 343,06 EUR",171.54,343.06,,,15.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Singapore,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,15.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,"Korea, South","0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,"Korea, South","up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,"Korea, South","up to 171,53 EUR",0.0,171.53,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,"Korea, South","171,54 EUR to 343,06 EUR",171.54,343.06,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,"Korea, South","343,07 EUR to 85767,46 EUR",343.07,85767.46,,,12.87,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Ukraine,"0,01 EUR to 42,88 EUR",0.01,42.88,,,15.4,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Ukraine,"up to 85,77 EUR",0.0,85.77,,,15.4,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Ukraine,"up to 171,53 EUR",0.0,171.53,,,15.4,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Ukraine,"171,54 EUR to 343,06 EUR",171.54,343.06,,,15.4,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Ukraine,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,15.4,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Hungary,"0,01 EUR to 42,88 EUR",0.01,42.88,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Hungary,"up to 85,77 EUR",0.0,85.77,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Hungary,"up to 171,53 EUR",0.0,171.53,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Hungary,"171,54 EUR to 343,06 EUR",171.54,343.06,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,Hungary,"343,07 EUR to 85767,46 EUR",343.07,85767.46,,,21.44,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United States,"0,01 EUR to 42,88 EUR",0.01,42.88,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United States,"up to 85,77 EUR",0.0,85.77,,,3.43,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United States,"up to 171,53 EUR",0.0,171.53,,,8.58,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
fishman,fishman,United States,"171,54 EUR to 343,06 EUR",171.54,343.06,,,8.58,EUR,False,https://www.ma-shops.com/fishman/versandkosten.php?lang=en&curr=EUR,2026-08-20T16:54:48.250457+00:00
